// Maze
// Criação:     01 Jan 2013
// Atualização: 25 Ago 2021
// Descrição:   Nível 1 (Muros)
//
// Informações dos muros:
// left top right bottom

// bordas
0 40 960 43
0 40 3 720
957 40 960 720
0 717 960 720

// muros da esquerda para direita e de cima para baixo separado por ilhas
// ilha superior esquerda
93 40 99 88
45 82 99 88
45 82 51 134

// ilha superior esquerda que se estende pelo segundo quadrante
141 40 147 224
141 82 339 88
93 128 147 134
45 173 99 179
45 173 51 224
93 173 99 224
93 218 147 224
141 173 243 179
189 128 195 270
189 264 243 270
237 218 243 315
189 309 243 315
189 128 339 134
285 128 291 224
333 128 339 315
285 264 339 270
285 264 291 315

// ilha superior centro-esquerda que se estende pelo centro, pela esquerda
// e pelo centro-baixo
429 40 435 134
381 128 435 134
381 82 387 270
381 264 435 270
429 264 435 406
429 400 483 406
477 400 483 451
381 309 531 315
525 264 531 451
525 264 579 270
573 218 579 360
573 309 627 315
573 354 675 360
525 445 579 451
573 445 579 542
429 536 579 542
525 490 531 678
477 490 531 496
477 581 627 587
429 445 435 542
381 445 435 451
381 400 387 496
621 536 627 632
621 626 771 632
669 626 675 678
573 672 675 678
573 626 579 678
717 626 723 678
765 581 771 632
669 581 771 587
237 354 435 360
333 354 339 542
189 536 387 542
285 445 291 542
237 489 291 496
237 445 291 451
237 400 243 451
189 400 291 406
189 354 195 451
141 354 195 360
141 264 147 360
93 309 147 315
93 309 99 360
189 536 195 587
189 581 339 587
285 581 291 632

// ilha superior centro-direita que se estende pelo centro e pela direita
476 40 483 179
476 128 531 134
525 82 531 179
525 82 579 88
525 173 627 179
621 173 627 270
621 218 675 224
621 264 723 270
669 264 675 315
717 264 723 406
573 400 771 406
621 400 627 496
765 264 771 406
621 445 771 451
765 445 771 496
621 490 723 496
717 490 723 542
669 536 867 542
813 490 819 542
861 445 867 542
861 490 915 496
908 445 915 542
429 173 483 179
429 173 435 224
429 218 531 224
477 218 483 270

// ilha superior direita (única)
909 128 960 134

// ilha superior direita que se estende para superior central
861 173 960 179
861 82 867 179
717 82 915 88
813 82 819 134
669 128 819 134
669 82 675 179
621 82 675 88
621 82 627 134
573 128 627 134
669 173 723 179
717 173 723 224
909 173 915 224

// ilha superior direita
860 264 960 270
860 218 867 315
765 218 867 224
813 173 819 451
765 173 771 224
813 354 867 360
813 400 915 406

// ilha direita um pouco superior
909 309 960 315
909 309 915 360

// ilha direita inferior
909 581 960 587
909 581 915 632

// ilha esquerda
0 400 51 406
45 264  51 406
45 264 99 270

// ilha esquerda inferior (única)
0 672 51 678

// ilha inferior esquerda
141 672 147 720
141 672 243 678
237 626 243 678
45 626 243 632
93 581 99 678
45 581 147 587
45 490 51 587
45 490 99 496
141 400 147 587
93 536 147 542
141 490 195 496
45 445 147 451
93 400 147 406

// ilha inferior esquerda meio central
285 672 291 720
285 672 339 678
333 626 339 678
333 626 483 632
381 581 387 632
381 581 435 587

// ilha inferior central
381 672 387 720
381 672 483 678

// ilha inferior direita (única)
765 672 771 720

// ilha inferior direita
813 626 819 720 
813 672 915 678
861 581 867 678
813 581 867 587
